STA00000147,19660126,MAX,75,,,SD,
STA00000147,19660126,MIN,34,,,SD,
STA00010000,19660126,ERR,0,,,SD,
STA00010095,19660126,MAX,44,,,SD,
STA00010095,19660126,MIN,16,,,SD,
STA00000147,19660127,MAX,73,,,SD,
STA00000147,19660127,MIN,29,,,SD,
STA00010000,19660127,ERR,0,,,SD,
STA00010095,19660127,MAX,57,,,SD,
STA00010095,19660127,MIN,15,,,SD,
STA00000147,19660128,MAX,79,,,SD,
STA00000147,19660128,MIN,54,,,SD,
STA00010000,19660128,ERR,4,,,SD,
STA00010095,19660128,MAX,69,,,SD,
STA00010095,19660128,MIN,33,,,SD,
STA00000147,19660129,MAX,73,,,SD,
STA00000147,19660129,MIN,50,,,SD,
STA00010000,19660129,ERR,0,,,SD,
STA00010095,19660129,MAX,67,,,SD,
STA00010095,19660129,MIN,19,,,SD,
STA00000147,19660130,MAX,66,,,SD,
STA00000147,19660130,MIN,50,,,SD,
STA00010000,19660130,ERR,0,,,SD,
STA00010095,19660130,MAX,29,,,SD,
STA00010095,19660130,MIN,3,,,SD,
STA00000147,19660131,MAX,85,,,SD,
STA00000147,19660131,MIN,50,,,SD,
STA00010000,19660131,ERR,0,,,SD,
STA00010095,19660131,MAX,62,,,SD,
STA00010095,19660131,MIN,23,,,SD,
STA00000147,19660201,MAX,91,,,SD,
STA00000147,19660201,MIN,63,,,SD,
STA00010000,19660201,ERR,13,,,SD,
STA00010095,19660201,MAX,48,,,SD,
STA00010095,19660201,MIN,17,,,SD,
STA00000147,19660202,MAX,66,,,SD,
STA00000147,19660202,MIN,54,,,SD,
STA00010000,19660202,ERR,16,,,SD,
STA00010095,19660202,MAX,67,,,SD,
STA00010095,19660202,MIN,19,,,SD,
STA00000147,19660203,MAX,56,,,SD,
STA00000147,19660203,MIN,54,,,SD,
STA00010000,19660203,ERR,0,,,SD,
STA00010095,19660203,MAX,53,,,SD,
STA00010095,19660203,MIN,2,,,SD,
STA00000147,19660204,MAX,104,,,SD,
STA00000147,19660204,MIN,59,,,SD,
STA00010000,19660204,ERR,0,,,SD,
STA00010095,19660204,MAX,66,,,SD,
STA00010095,19660204,MIN,39,,,SD,
STA00000147,19660205,MAX,79,,,SD,
STA00000147,19660205,MIN,46,,,SD,
STA00010000,19660205,ERR,0,,,SD,
STA00010095,19660205,MAX,59,,,SD,
STA00010095,19660205,MIN,22,,,SD,
